"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"short term visa applications","Granted","29/02/2024","Colombia","1272","1368","1462","174","129","918","1298","128"
"short term visa applications","Granted","29/02/2024","Comoros (the)","17","4","5","0","*","5","*","0"
"short term visa applications","Granted","29/02/2024","Congo (the Democratic Republic of the)","213","136","116","13","14","98","132","16"
"short term visa applications","Granted","29/02/2024","Congo (the)","17","7","16","12","0","12","18","0"
"short term visa applications","Granted","29/02/2024","Côte d'Ivoire","48","55","38","21","*","45","34","*"
"short term visa applications","Granted","29/02/2024","Cuba","84","136","259","7","7","56","45","6"
"short term visa applications","Granted","29/02/2024","Djibouti","10","8","6","0","0","7","*","0"
"short term visa applications","Granted","29/02/2024","Dominican Republic (the)","89","124","113","16","12","98","173","12"
"short term visa applications","Granted","29/02/2024","Ecuador","247","291","313","34","8","150","234","51"
"short term visa applications","Granted","29/02/2024","Egypt","1452","1650","1817","340","210","1171","1585","203"
"short term visa applications","Granted","29/02/2024","Equatorial Guinea","*","0","5","0","0","*","*","0"
"short term visa applications","Granted","29/02/2024","Eritrea","18","21","18","4","5","36","35","*"
"short term visa applications","Granted","29/02/2024","Ethiopia","237","292","254","20","33","176","248","19"
"short term visa applications","Granted","29/02/2024","Faroe Islands (the)","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","29/02/2024","Gabon","10","13","21","4","0","6","5","*"
"short term visa applications","Granted","29/02/2024","Gambia (the)","24","31","13","13","13","17","16","*"
"short term visa applications","Granted","29/02/2024","Georgia","325","300","451","108","88","445","519","61"
"short term visa applications","Granted","29/02/2024","Ghana","314","370","346","64","68","280","359","68"
"short term visa applications","Granted","29/02/2024","Guinea","19","20","28","*","7","14","24","5"
"short term visa applications","Granted","29/02/2024","Guinea-Bissau","*","4","*","*","*","4","6","*"
"short term visa applications","Granted","29/02/2024","Haiti","42","69","21","4","*","5","21","0"
"short term visa applications","Granted","29/02/2024","India","17544","19704","23262","5076","3384","22756","32801","5441"
"short term visa applications","Granted","29/02/2024","Indonesia","2599","3086","3382","470","150","678","903","127"
"short term visa applications","Granted","29/02/2024","Iran (Islamic Republic of)","722","721","634","119","83","574","731","86"
"short term visa applications","Granted","29/02/2024","Iraq","133","152","150","26","31","277","316","57"
"short term visa applications","Granted","29/02/2024","Jamaica","142","159","149","10","14","93","127","9"
"short term visa applications","Granted","29/02/2024","Jordan","623","747","725","119","97","596","702","64"
"short term visa applications","Granted","29/02/2024","Kazakhstan","422","469","388","67","51","219","359","37"
"short term visa applications","Granted","29/02/2024","Kenya","600","743","618","112","87","620","713","76"
"short term visa applications","Granted","29/02/2024","Korea (the Democratic People's Republic of) North Korea","*","*","0","0","0","0","0","0"
"short term visa applications","Granted","29/02/2024","Kosovo","228","176","175","23","26","179","149","16"
"short term visa applications","Granted","29/02/2024","Kuwait","1029","1128","1070","146","500","1000","918","127"
"short term visa applications","Granted","29/02/2024","Kyrgyzstan","64","55","47","17","10","44","42","4"
"short term visa applications","Granted","29/02/2024","Lao People's Democratic Republic (the)","16","17","7","9","0","13","16","0"
"short term visa applications","Granted","29/02/2024","Lebanon","947","980","1004","168","99","572","767","104"
"short term visa applications","Granted","29/02/2024","Liberia","22","20","14","4","0","20","20","*"
"short term visa applications","Granted","29/02/2024","Libya","31","45","98","10","10","48","41","16"
"short term visa applications","Granted","29/02/2024","Madagascar","21","26","28","9","*","23","30","*"
"short term visa applications","Granted","29/02/2024","Malawi","152","151","206","23","28","192","269","15"
"short term visa applications","Granted","29/02/2024","Mali","32","11","25","*","0","14","22","*"
"short term visa applications","Granted","29/02/2024","Marshall Islands (the)","0","0","*","0","0","*","0","0"
"short term visa applications","Granted","29/02/2024","Mauritania","4","*","7","0","*","*","4","0"
"short term visa applications","Granted","29/02/2024","Mauritius","261","244","338","36","32","238","297","32"
"short term visa applications","Granted","29/02/2024","Micronesia (Federated States of)","*","*","*","0","0","*","*","0"
"short term visa applications","Granted","29/02/2024","Moldova (the Republic of)","466","583","602","167","130","515","771","88"
"short term visa applications","Granted","29/02/2024","Mongolia","177","254","255","30","28","195","283","54"
"short term visa applications","Granted","29/02/2024","Montenegro","94","88","172","7","7","99","84","13"
"short term visa applications","Granted","29/02/2024","Morocco","704","880","946","144","94","534","671","106"
"short term visa applications","Granted","29/02/2024","Mozambique","50","29","35","5","4","48","52","4"
"short term visa applications","Granted","29/02/2024","Myanmar","69","93","95","5","5","49","62","8"
"short term visa applications","Granted","29/02/2024","Namibia","66","98","86","19","6","55","81","24"
"short term visa applications","Granted","29/02/2024","Nepal","237","240","261","50","34","281","318","45"
"short term visa applications","Granted","29/02/2024","Niger (the)","6","5","8","*","0","*","4","*"
"short term visa applications","Granted","29/02/2024","Nigeria","2926","3543","3000","572","556","3040","3690","594"
"short term visa applications","Granted","29/02/2024","North Macedonia","361","433","402","79","52","230","266","30"
"short term visa applications","Granted","29/02/2024","Oman","573","653","459","32","105","334","307","28"
"short term visa applications","Granted","29/02/2024","Pakistan","1961","2221","2183","476","414","2483","3509","525"
"short term visa applications","Granted","29/02/2024","Palau","*","0","13","*","0","*","*","0"
"short term visa applications","Granted","29/02/2024","Palestine, State of","243","269","247","33","25","202","245","26"
"short term visa applications","Granted","29/02/2024","Papua New Guinea","7","9","12","*","0","8","9","0"
"short term visa applications","Granted","29/02/2024","Peru","524","501","551","77","27","293","424","46"
"short term visa applications","Granted","29/02/2024","Philippines (the)","3065","3346","3426","671","377","2336","2985","265"
"short term visa applications","Granted","29/02/2024","Qatar","46","51","71","4","75","64","49","7"
"short term visa applications","Granted","29/02/2024","Russian Federation (the)","13101","13374","17191","2687","1041","2594","3014","343"
"short term visa applications","Granted","29/02/2024","Rwanda","56","60","42","7","5","45","51","*"
"short term visa applications","Granted","29/02/2024","Sao Tome and Principe","0","5","0","0","*","*","*","0"
"short term visa applications","Granted","29/02/2024","Saudi Arabia","2881","2772","2362","303","331","1163","1061","115"
"short term visa applications","Granted","29/02/2024","Senegal","61","60","105","10","4","46","57","20"
"short term visa applications","Granted","29/02/2024","Serbia","1402","1258","1366","222","306","990","1230","126"
"short term visa applications","Granted","29/02/2024","Sierra Leone","46","90","69","16","8","117","71","5"
"short term visa applications","Granted","29/02/2024","Somalia","7","24","36","*","10","50","70","11"
"short term visa applications","Granted","29/02/2024","South Sudan","0","8","10","0","*","8","9","0"
"short term visa applications","Granted","29/02/2024","Sri Lanka","704","592","709","147","81","460","666","113"
"short term visa applications","Granted","29/02/2024","Sudan (the)","750","878","772","70","144","789","505","40"
"short term visa applications","Granted","29/02/2024","Suriname","*","4","6","0","0","*","*","*"
"short term visa applications","Granted","29/02/2024","Syrian Arab Republic (the)","223","296","288","42","36","230","262","27"
"short term visa applications","Granted","29/02/2024","Tajikistan","9","16","20","5","5","18","17","7"
"short term visa applications","Granted","29/02/2024","Tanzania, the United Republic of","169","245","127","28","29","164","217","19"
"short term visa applications","Granted","29/02/2024","Thailand","1368","1398","1265","218","148","913","1075","136"
"short term visa applications","Granted","29/02/2024","Timor-Leste","*","4","*","*","0","7","5","0"
"short term visa applications","Granted","29/02/2024","Togo","17","28","25","*","*","26","18","0"
"short term visa applications","Granted","29/02/2024","Tunisia","299","322","334","67","48","234","319","77"
"short term visa applications","Granted","29/02/2024","Turkiye","4393","4336","4090","830","571","3281","4041","651"
"short term visa applications","Granted","29/02/2024","Turkmenistan","13","13","5","0","5","11","11","*"
"short term visa applications","Granted","29/02/2024","Uganda","288","331","350","60","42","296","310","51"
"short term visa applications","Granted","29/02/2024","Uzbekistan","88","59","81","11","9","84","65","6"
"short term visa applications","Granted","29/02/2024","Venezuela (Bolivarian Republic of)","522","523","461","54","52","316","416","44"
"short term visa applications","Granted","29/02/2024","Viet Nam","734","815","865","93","34","497","665","67"
"short term visa applications","Granted","29/02/2024","Yemen","35","50","54","6","12","47","51","4"
"short term visa applications","Granted","29/02/2024","Zambia","209","200","161","48","20","114","251","19"
"short term visa applications","Granted","29/02/2024","Zimbabwe","468","576","494","80","138","417","625","93"
"short term visa applications","Granted","29/02/2024","*Other","4238","3784","4512","868","837","522","307","42"
"short term visa applications","Refused","29/02/2024","Afghanistan","480","433","86","39","28","56","87","15"
"short term visa applications","Refused","29/02/2024","Albania","73","106","93","15","6","63","126","55"
"short term visa applications","Refused","29/02/2024","Algeria","121","116","148","35","20","153","272","80"
"short term visa applications","Refused","29/02/2024","Angola","25","54","27","*","*","12","59","16"
"short term visa applications","Refused","29/02/2024","Armenia","5","*","7","*","*","4","4","0"
"short term visa applications","Refused","29/02/2024","Azerbaijan","5","13","16","*","*","9","26","*"
"short term visa applications","Refused","29/02/2024","Bahrain","4","10","7","*","4","9","*","*"
"short term visa applications","Refused","29/02/2024","Bangladesh","230","200","218","57","40","106","297","198"
"short term visa applications","Refused","29/02/2024","Belarus","51","85","101","21","5","8","14","*"
"short term visa applications","Refused","29/02/2024","Benin","9","5","5","*","*","7","15","5"
"short term visa applications","Refused","29/02/2024","Bhutan","0","*","*","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Bosnia and Herzegovina","14","21","38","7","*","7","11","4"
"short term visa applications","Refused","29/02/2024","Burkina Faso","*","*","4","0","*","*","4","*"
"short term visa applications","Refused","29/02/2024","Burundi","*","4","*","*","0","6","48","*"
"short term visa applications","Refused","29/02/2024","Cabo Verde","0","*","0","0","0","*","0","0"
"short term visa applications","Refused","29/02/2024","Cambodia","*","*","7","0","0","*","4","0"
"short term visa applications","Refused","29/02/2024","Cameroon","78","78","132","14","8","42","119","35"
"short term visa applications","Refused","29/02/2024","Central African Republic (the)","0","0","*","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Chad","*","0","*","*","0","0","0","0"
"short term visa applications","Refused","29/02/2024","China","455","612","627","78","36","81","327","47"
"short term visa applications","Refused","29/02/2024","Colombia","15","17","24","*","8","17","16","*"
"short term visa applications","Refused","29/02/2024","Comoros (the)","*","*","0","*","0","6","5","0"
"short term visa applications","Refused","29/02/2024","Congo (the Democratic Republic of the)","106","232","93","33","7","93","144","14"
"short term visa applications","Refused","29/02/2024","Congo (the)","18","23","15","*","0","*","10","*"
"short term visa applications","Refused","29/02/2024","Côte d'Ivoire","7","14","11","4","*","15","11","0"
"short term visa applications","Refused","29/02/2024","Cuba","*","6","6","*","*","14","15","*"
"short term visa applications","Refused","29/02/2024","Djibouti","6","0","*","0","*","*","4","0"
"short term visa applications","Refused","29/02/2024","Dominican Republic (the)","5","*","*","4","*","*","11","*"
"short term visa applications","Refused","29/02/2024","Ecuador","11","5","5","4","*","*","5","0"
"short term visa applications","Refused","29/02/2024","Egypt","279","175","191","66","22","133","245","36"
"short term visa applications","Refused","29/02/2024","Equatorial Guinea","*","5","*","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Eritrea","12","19","32","8","*","11","11","6"
"short term visa applications","Refused","29/02/2024","Ethiopia","42","106","65","10","6","85","105","25"
"short term visa applications","Refused","29/02/2024","Faroe Islands (the)","0","0","0","0","0","*","0","0"
"short term visa applications","Refused","29/02/2024","Gabon","*","6","*","*","0","*","0","0"
"short term visa applications","Refused","29/02/2024","Gambia (the)","25","10","12","7","*","59","49","6"
"short term visa applications","Refused","29/02/2024","Georgia","135","100","92","5","9","106","148","4"
"short term visa applications","Refused","29/02/2024","Ghana","223","234","203","45","32","367","267","99"
"short term visa applications","Refused","29/02/2024","Guinea","25","11","15","6","*","10","23","*"
"short term visa applications","Refused","29/02/2024","Guinea-Bissau","*","*","*","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Haiti","0","*","*","0","0","*","*","0"
"short term visa applications","Refused","29/02/2024","India","861","1079","1557","326","237","1262","1264","169"
"short term visa applications","Refused","29/02/2024","Indonesia","22","25","20","*","*","6","28","9"
"short term visa applications","Refused","29/02/2024","Iran (Islamic Republic of)","177","231","121","12","24","91","113","19"
"short term visa applications","Refused","29/02/2024","Iraq","303","92","109","17","15","131","120","25"
"short term visa applications","Refused","29/02/2024","Jamaica","13","19","23","*","5","16","9","*"
"short term visa applications","Refused","29/02/2024","Jordan","73","93","140","41","28","147","97","9"
"short term visa applications","Refused","29/02/2024","Kazakhstan","26","38","28","21","0","*","10","0"
